# Copyright (c) 2026 NyxeraLabs
# Author: José María Micoli
# Licensed under BSL 1.1
# Change Date: 2033-02-22 -> Apache-2.0
# 
# You may:
# Study
# Modify
# Use for internal security testing
# 
# You may NOT:
# Offer as a commercial service
# Sell derived competing products

Name,Description,List,Labels,Checklist
Initialize Git repo,Setup repository for SpectraStrike,Backlog,Dev,
Setup Python virtual environment,Setup Python venv and dependencies,Backlog,Dev,
Install core dependencies (requests; asyncio; logging),Install essential Python libraries,Backlog,Dev,
Setup Docker dev containers,Prepare development Docker containers,Backlog,Dev,
Setup IDE configuration,Configure IDE with recommended settings,Backlog,Dev,
Configure pre-commit hooks,Implement pre-commit hooks for code quality,Backlog,Dev,
Setup Git branching strategy,Define branching model (main/dev/feature),Backlog,Dev,
Implement initial CI/CD pipeline (GitHub Actions / GitLab CI),Automate build/test/deploy process,Backlog,Dev,
Setup logging framework,Implement logging for dev/testing,Backlog,Dev,
Configure AAA framework (AuthN/AuthZ/Accounting),Setup authentication/authorization/audit,Backlog,Dev,
Commit initial setup,Commit baseline project structure,Backlog,Dev,
QA: validate environment consistency,Check all setups work correctly,Backlog,QA,
QA: run linter & unit test baseline,Run initial code quality checks,Backlog,QA,
Design orchestrator architecture,Plan SpectraStrike orchestration engine structure,Backlog,Dev,
Implement event loop,Core async event loop implementation,Backlog,Dev,
Implement task scheduler,Schedule tasks for pentests and simulations,Backlog,Dev,
Implement telemetry ingestion,Collect telemetry from tools and manual tests,Backlog,Dev,
Implement logging & audit trails,Record all events for auditing,Backlog,Dev,
Implement AAA enforcement at engine level,Ensure AuthN/AuthZ in engine operations,Backlog,Dev,
Unit tests for orchestrator,Test orchestrator modules,Backlog,Dev,
Commit orchestrator code,Commit orchestrator implementation,Backlog,Dev,
QA: run functional tests,Verify orchestrator functionality,Backlog,QA,
QA: validate telemetry output,Check telemetry correctness,Backlog,QA,
QA: AAA access verification,Confirm access control is enforced,Backlog,QA,
Design API client for VectorVue,Plan integration with VectorVue API,Backlog,Integration,
Implement encrypted data transfer (TLS),Secure communication with VectorVue,Backlog,Integration,
Implement retries / backoff,Ensure reliable message delivery,Backlog,Integration,
Implement event batching,Batch telemetry events for efficiency,Backlog,Integration,
Implement message signing for integrity,Sign messages to guarantee integrity,Backlog,Integration,
Commit integration code,Commit integration implementation,Backlog,Integration,
QA: test API endpoints,Verify endpoints are functional,Backlog,QA,
QA: validate encrypted communication,Confirm TLS encryption works,Backlog,QA,
QA: confirm telemetry reaches VectorVue,Check end-to-end data delivery,Backlog,QA,
Create Python wrapper module (Nmap),Nmap wrapper for scans,Backlog,Dev,
Implement TCP SYN scan (Nmap),Nmap TCP scan,Backlog,Dev,
Implement UDP scan (Nmap),Nmap UDP scan,Backlog,Dev,
Implement OS detection (Nmap),Nmap OS detection,Backlog,Dev,
Parse XML/JSON output (Nmap),Parse scan results,Backlog,Dev,
Send scan results to orchestrator (Nmap),Send Nmap results to engine,Backlog,Dev,
Integrate logging & telemetry (Nmap),Log Nmap activity,Backlog,Dev,
Unit tests for wrapper (Nmap),Test Nmap wrapper,Backlog,Dev,
Commit wrapper (Nmap),Commit Nmap code,Backlog,Dev,
QA: validate scan accuracy (Nmap),Check scan correctness,Backlog,QA,
QA: AAA enforcement (Nmap),Confirm access control,Backlog,QA,
Connect to Metasploit RPC,Enable remote exploit control,Backlog,Dev,
Implement module loader (Metasploit),Load exploit modules dynamically,Backlog,Dev,
Execute exploits (Metasploit),Run automated exploits,Backlog,Dev,
Capture session output (Metasploit),Capture results and sessions,Backlog,Dev,
Send results to orchestrator (Metasploit),Push Metasploit output to engine,Backlog,Dev,
Logging & telemetry (Metasploit),Log events,Backlog,Dev,
Retry/error handling (Metasploit),Handle failed exploits,Backlog,Dev,
Unit tests (Metasploit),Test Metasploit wrapper,Backlog,Dev,
Commit wrapper (Metasploit),Commit Metasploit code,Backlog,Dev,
QA: validate exploit runs (Metasploit),Check exploit execution,Backlog,QA,
QA: check telemetry delivery (Metasploit),Confirm telemetry received,Backlog,QA,
Add unprivileged Nmap execution fallback (-sS to -sT),Allow operator/local runs without root for Nmap scans,Backlog,Dev,
